close,high,low,ema_5,open,ma_5,ema_10,ma_10,ma_20,lower_band,upper_band
100353.37,100789.0,100314.19,100243.29207737715,100457.62,100262.598,100154.45532985347,100011.753,100159.00200000001,98958.13050013702,101359.873499863
100299.85,100470.59,100142.11,100262.14471825145,100353.37,100296.568,100180.89072442557,100093.239,100100.87,99064.36683925633,101137.37316074366
100284.35,100527.91,99936.25,100269.54647883431,100299.85,100299.03799999999,100199.70150180273,100148.765,100034.205,99273.69710764327,100794.71289235674
101018.12,101018.12,100220.92,100519.07098588954,100284.36,100482.66199999998,100348.50486511132,100250.53099999999,100042.23150000001,99242.74408749843,100841.71891250159
99873.16,101375.26,99700.0,100303.76732392637,101018.12,100365.76999999999,100262.07852600016,100248.847,100061.8235,99301.99081550118,100821.65618449882
100988.01,101272.73,99800.0,100531.84821595091,99873.16,100492.698,100394.06606672739,100377.648,100109.8235,99244.95476094124,100974.69223905876
101737.89,101777.75,100780.01,100933.86214396727,100988.02,100780.30600000001,100638.39769095878,100538.437,100208.7175,99095.57866873097,101321.85633126902
101495.91,101895.26,101293.14,101121.21142931153,101737.88,101022.618,100794.30901987536,100660.82800000001,100261.313,99010.4773451112,101512.14865488879
101462.34,101617.65,101205.88,101234.92095287437,101495.92,101111.46199999998,100915.76919807984,100797.062,100334.21549999999,98980.7084560275,101687.72254397249
101680.0,101879.98,101227.97,101383.28063524958,101462.34,101472.83,101054.7202529744,100919.3,100414.055,98939.8875093303,101888.22249066968
101303.64,101691.46,101250.09,101356.73375683307,101680.01,101535.95599999999,101099.97838879723,101014.327,100513.04000000001,99081.83832164496,101944.24167835506
101227.28,101407.99,101090.9,101313.5825045554,101303.63,101433.834,101123.12413628862,101107.06999999999,100600.1545,99221.28540484344,101979.02359515657
101424.25,101529.42,101139.88,101350.4716697036,101227.28,101419.50200000001,101177.87429332704,101221.06,100684.9125,99323.19674241406,102046.62825758595
101301.07,101519.42,101148.35,101334.00444646907,101424.24,101387.248,101200.27351272211,101249.35500000001,100749.943,99401.69836402095,102098.18763597905
102145.28,102650.0,101301.07,101604.42963097939,101301.07,101480.30399999999,101372.09287404535,101476.56700000001,100862.707,99441.99360773838,102283.42039226161
102032.61,102279.43,101668.45,101747.15642065293,102145.28,101626.098,101492.1868969462,101581.027,100979.3375,99577.66495997207,102381.01004002792
102088.0,102344.0,102022.39,101860.77094710196,102032.61,101798.242,101600.51655204687,101616.038,101077.2375,99652.02628980033,102502.44871019968
101681.81,102138.0,101590.9,101801.11729806798,102088.0,101849.754,101615.29717894744,101634.628,101147.728,99751.03638392108,102544.41961607893
101722.8,101816.71,101632.0,101775.01153204532,101681.82,101934.1,101634.84314641154,101660.674,101228.86799999999,99901.63499894146,102556.10100105852
101906.05,102000.0,101690.37,101818.69102136356,101722.79,101886.254,101684.15348342762,101683.27900000001,101301.2895,99993.32162287197,102609.25737712803
101824.0,101923.99,101596.43,101820.46068090905,101906.06,101844.532,101709.58012280441,101735.31499999999,101374.821,100127.27670865848,102622.36529134151
101803.03,101863.64,101578.58,101814.65045393936,101824.0,101787.53800000002,101726.57100956724,101792.89,101449.98,100297.63092132825,102602.32907867174
